 Lista de Imóveis da Caixa,Unnamed: 1,Data de geração:,05/01/2024,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
 N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Descrição,Modalidade de venda,Link de acesso
 1555528667356 ,DF ,BRASILIA ,SETOR DE MANSOES DOM BOSCO (LAGO SUL) ,"SMDB CJ-04 LT-03 UNIDADE-C, N. s/n ","2.461.532,80","4.432.000,00",44.46,"Casa, 0.00 de área total, 794.13 de área privativa, 2250.00 de área do terreno,  5 qto(s), varanda, WC Emp, 4 sala(s), 1 lavabo(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555528667356
 8444415980985 ,DF ,BRASILIA ,SETOR CENTRAL (GAMA) ,"QUADRA 56, N. S/N, Apto 404, LT 04, EDIFICIO ALPHA GAMA ","86.705,10","153.000,00",43.33,"Apartamento, 0.00 de área total, 44.49 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415980985
 8787704439224 ,DF ,BRASILIA ,CEILANDIA NORTE (CEILANDIA) ,"QNM 12, N. S/N, Apto 801, LT 28, VIA NM 12-A ","148.475,40","262.000,00",43.33,"Apartamento, 0.00 de área total, 60.16 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704439224
 8787710352135 ,DF ,BRASILIA ,SETOR CENTRAL (GAMA) ,"A ESPECIAL LADO LESTE, N. SN, Apto 1210, BL C, ÁREA ESPECIAL 24/25 ","115.679,22","193.800,00",40.31,"Apartamento, 0.00 de área total, 34.75 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710352135
 1444401166670 ,DF ,BRASILIA ,CEILANDIA NORTE (CEILANDIA) ,"QNO-6 CJ-P LT 45, N. 00 ","266.011,80","443.353,00",40.00,"Casa, 0.00 de área total, 236.91 de área privativa, 144.00 de área do terreno.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401166670
 8555507424860 ,DF ,BRASILIA ,RECANTO DAS EMAS ,"VIA PÚBLICA, N. S/N, QD QR 406, LT 11, CJ H ","98.947,13","164.911,89",40.00,"Casa, 0.00 de área total, 84.70 de área privativa, 112.50 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555507424860
 1555520880786 ,DF ,BRASILIA ,SETOR CENTRAL (GAMA) ,"ENTREQUADRA 51-53 PROJECAO 2, N. S/N, Apto 1005 ","213.180,00","330.000,00",35.40,"Apartamento, 0.00 de área total, 75.15 de área privativa, 0.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555520880786
 1444405969638 ,DF ,BRASILIA ,TAGUATINGA NORTE (TAGUATINGA) ,"QNL 2, N. S/N, Apto 305, BL B, PROJ 2 ","137.598,00","213.000,00",35.40,"Apartamento, 72.00 de área total, 72.00 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405969638
 1444402703289 ,DF ,BRASILIA ,CEILANDIA NORTE (CEILANDIA) ,"QNM 12, N. S/N, Apto 202, LT 07, VIA NM 12-B ","116.280,00","180.000,00",35.40,"Apartamento, 0.00 de área total, 53.56 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402703289
