 Lista de Imóveis da Caixa,Unnamed: 1,Data de geração:,05/01/2024,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
 N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Descrição,Modalidade de venda,Link de acesso
 8444400703948 ,GO ,ABADIA DE GOIAS ,CENTRO ,"RUA RUA 15 DE NOVENBRO, N. SN, QUADRA 163, LOTE 14A ","128.000,00","128.000,00",0.00,"Casa, 86.46 de área total, 86.46 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400703948
 8444403537500 ,GO ,ABADIA DE GOIAS ,  ,"RUA QUINZE, N. 13, QUADRA 117 ","99.400,00","99.400,00",0.00,"Casa, 54.00 de área total, 54.00 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403537500
 8444403577234 ,GO ,ABADIA DE GOIAS ,CENTRO ,"RUA QUINZE, N. SN, LT 14 QD 17 ","94.000,00","94.000,00",0.00,"Casa, 50.00 de área total, 50.00 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403577234
 8444407683136 ,GO ,ABADIA DE GOIAS ,CENTRO ,"RUA RUA ANHAGUERA, N. SN, LOTE 05-5, QUADRA 195 ","130.000,00","130.000,00",0.00,"Casa, 68.90 de área total, 68.90 de área privativa, 192.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407683136
 8056600014524 ,GO ,ACREUNA ,SETOR CANADA ,"VIELA RIO TURVO, N. S/N, QD 39, LT 07 ","45.650,00","83.000,00",45.00,"Casa, 0.00 de área total, 59.33 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8056600014524
 8056600014192 ,GO ,ACREUNA ,  ,"RUA PEDRO ANTONIO RODRIGUES, N. S/N, 4039, N. SN, LT 39 - QD 40 ","100.000,00","100.000,00",0.00,"Casa, 59.33 de área total, 59.33 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8056600014192
 1555519715661 ,GO ,AGUA FRIA DE GOIAS ,LOT AGUA FRIA 2ª EP ,"RUA 17, N. SN, LT 01, QD 63, LOT AGUA FRIA II ETAPA ","130.000,00","200.000,00",35.00,"Casa, 0.00 de área total, 222.00 de área privativa, 423.70 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555519715661
 8555503748881 ,GO ,AGUAS LINDAS DE GOIAS ,CAMPING CLUBE ,"QD 37, N. SN, LT-01A-1, RUA 14 ","30.000,00","75.000,00",60.00,"Casa, 0.00 de área total, 70.41 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555503748881
 8555503403744 ,GO ,AGUAS LINDAS DE GOIAS ,JARDIM LARANJEIRAS ,"RUA A, N. SN, 0228 ","41.010,79","74.000,00",44.59,"Casa, 0.00 de área total, 68.36 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555503403744
